cell_id,replicate,model,harness_config,scaffold,base_model,routing,language,task,status,requirement_coverage,code_quality,cost_per_task,latency_s,tokens,runner,notes,x_raw_model
metaharness-rest-api-crud-python-glm-5.2,1,glm-5.2,metaharness,none,glm-5.2,off,python,rest-api-crud,pass,1.0,0.8333333333333334,0.017874,142.29982330198982,7497,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-rest-api-crud-python-deepseek-v4-pro,1,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,python,rest-api-crud,pass,1.0,0.8333333333333334,0.05557,266.6032951870002,52430,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-glm-5.2,1,glm-5.2,metaharness,none,glm-5.2,off,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.035318,148.45094863898703,15679,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-rest-api-crud-go-glm-5.2,1,glm-5.2,metaharness,none,glm-5.2,off,go,rest-api-crud,pass,1.0,0.9555555555555556,0.060221,213.65659808099736,21685,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-rest-api-crud-rust-deepseek-v4-pro,1,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,rust,rest-api-crud,pass,1.0,0.0,0.164711,671.3321693220059,136094,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-python-glm-5.2,3,glm-5.2,metaharness,none,glm-5.2,off,python,rest-api-crud,pass,1.0,0.8333333333333334,0.01563,62.23317499097902,7579,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-rest-api-crud-typescript-deepseek-v4-pro,1,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,typescript,rest-api-crud,pass,1.0,0.5666666666666667,0.121512,725.6731287650182,103310,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-python-deepseek-v4-pro,2,deepseek-v4-pro,metaharness,none,deepseek-v4-pro,off,python,rest-api-crud,pass,1.0,0.8333333333333334,0.02314,211.50003089400707,18922,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-rest-api-crud-typescript-glm-5.2,3,glm-5.2,metaharness,none,glm-5.2,off,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.041525,202.715156752005,32719,metaharness,req_cov_raw=1.0,glm-5.2
metaharness-rest-api-crud-python-glm-5.2,2,glm-5.2,metaharness,none,glm-5.2,off,python,rest-api-crud,pass,1.0,0.8333333333333334,0.027546,91.14950302001671,13779,metaharness,req_cov_raw=1.0,glm-5.2
